Tidb,,,,,,,,,,Oracle,,,,,,,,,Compare
PAN,AMOUNT,LOCAL_DATE,LOCAL_TIME,ORIGTRACE,ISSUER_RP,TERMID,BB_BIN,SEQUENCE_IN_MONTH,,PAN,AMOUNT,LOCAL_DATE,LOCAL_TIME,ORIGTRACE,ISSUER_RP,TERMID,BB_BIN,SEQUENCE_IN_MONTH,
1020404504,10000,09-09-25 0:00,101751,928814,970443,11111111,970406,11042,,1020404504,10000,09-09-25 0:00,101751,928814,970443,11111111,970406,11042,0
1020404504,10000,09-09-25 0:00,105744,781186,970443,11111111,970406,11248,,1020404504,10000,09-09-25 0:00,105744,781186,970443,11111111,970406,11248,0
1020404520,5000,09-09-25 0:00,94612,185135,970443,11111111,970406,10995,,1020404520,5000,09-09-25 0:00,94612,185135,970443,11111111,970406,10995,0
1020404520,5000,09-09-25 0:00,101959,253558,970443,11111111,970406,11075,,1020404520,5000,09-09-25 0:00,101959,253558,970443,11111111,970406,11075,0
1020404520,10000,09-09-25 0:00,94613,398534,970443,11111111,970406,10996,,1020404520,10000,09-09-25 0:00,94613,398534,970443,11111111,970406,10996,0
1020404520,10000,09-09-25 0:00,102000,976127,970443,11111111,970406,11076,,1020404520,10000,09-09-25 0:00,102000,976127,970443,11111111,970406,11076,0
1020404533,5000,09-09-25 0:00,94436,546803,970443,11111111,970406,10971,,1020404533,5000,09-09-25 0:00,94436,546803,970443,11111111,970406,10971,0
1020404533,5000,09-09-25 0:00,101828,326696,970443,11111111,970406,11051,,1020404533,5000,09-09-25 0:00,101828,326696,970443,11111111,970406,11051,0
1020404533,5000,09-09-25 0:00,105824,58216,970443,11111111,970406,11257,,1020404533,5000,09-09-25 0:00,105824,58216,970443,11111111,970406,11257,0
1020404533,10000,09-09-25 0:00,94437,720298,970443,11111111,970406,10972,,1020404533,10000,09-09-25 0:00,94437,720298,970443,11111111,970406,10972,0
1020404533,10000,09-09-25 0:00,101829,663317,970443,11111111,970406,11052,,1020404533,10000,09-09-25 0:00,101829,663317,970443,11111111,970406,11052,0
1020404533,10000,09-09-25 0:00,105824,936308,970443,11111111,970406,11258,,1020404533,10000,09-09-25 0:00,105824,936308,970443,11111111,970406,11258,0
1020404533,500000,09-09-25 0:00,102748,625218,970443,11111111,970406,11090,,1020404533,500000,09-09-25 0:00,102748,625218,970443,11111111,970406,11090,0
1020404533,1000000,09-09-25 0:00,102749,323607,970443,11111111,970406,11091,,1020404533,1000000,09-09-25 0:00,102749,323607,970443,11111111,970406,11091,0
1020404546,5000,09-09-25 0:00,94346,378946,970443,11111111,970406,10959,,1020404546,5000,09-09-25 0:00,94346,378946,970443,11111111,970406,10959,0
1020404546,5000,09-09-25 0:00,101744,21122,970443,11111111,970406,11039,,1020404546,5000,09-09-25 0:00,101744,21122,970443,11111111,970406,11039,0
1020404546,5000,09-09-25 0:00,105735,744657,970443,11111111,970406,11245,,1020404546,5000,09-09-25 0:00,105735,744657,970443,11111111,970406,11245,0
1020404546,10000,09-09-25 0:00,94347,468543,970443,11111111,970406,10960,,1020404546,10000,09-09-25 0:00,94347,468543,970443,11111111,970406,10960,0
1020404546,10000,09-09-25 0:00,101744,478422,970443,11111111,970406,11040,,1020404546,10000,09-09-25 0:00,101744,478422,970443,11111111,970406,11040,0
1020404546,10000,09-09-25 0:00,105736,203944,970443,11111111,970406,11246,,1020404546,10000,09-09-25 0:00,105736,203944,970443,11111111,970406,11246,0
